Root Domain,Location on Site,Primary Domain,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,X,Twitter,Facebook,LinkedIn,Google,GitHub,People,Verified Profiles,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CMS Platform,CRM Platform,Marketing Automation Platform,Payment Platforms,CRuX Rank,Cloudflare Rank,Agency,Hosting Provider,AI,Exclusion,Compliance
ascellon.ng,ascellon.ng,ascellon.ng,$0,"","","","",Ascellon Corporation,Business And Industrial,"","","","","",info@ascellon.ng,"","","","","","","","","","","","",2015-05-06,2025-10-02,2025-10-02,2025-10-02,"","","","","","","","",Microsoft;Microsoft Azure,"","",""
wandoo.ng,wandoo.ng,wandoo.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2017-10-05,2025-10-03,2025-10-03,2025-10-03,"","","","","","","","",Incapsula,"","",""
thepolytechniciresi.edu.ng,thepolytechniciresi.edu.ng,thepolytechniciresi.edu.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-09-08,2025-10-03,2025-10-03,2025-10-03,"","","","","","","","","","","",""
victoriaschool.com.ng,victoriaschool.com.ng,victoriaschool.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2019-09-03,2025-10-03,2025-10-09,2025-10-09,"",Plesk,"","","",Top 5m,"","",Limestone Networks,"","",""
energyhub.com.ng,energyhub.com.ng,energyhub.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2022-12-30,2025-10-03,2025-10-03,2025-10-03,"",Plesk,"","","","","","",1and1,"","",""
nairacompare.ng,nairacompare.ng,nairacompare.ng,"$9,857","$153,370","2,386","","",nairaCompare,Finance,"765,637","","","","","",x.com/nairacompareng,twitter.com/nairacompareng,facebook.com/nairacompareng,linkedin.com/company/nairacompare,"","","","",Lagos,"",101233,NG,2020-09-17,2025-09-27,2025-10-10,2025-10-10,"",HubSpot CMS Hub;HubSpot COS,Hubspot,Hubspot;Hubspot Forms,Paystack,Top 50m,Top 500k,"",Cloudflare Hosting;Hubspot Hosted,"","",""
codestash.ng,codestash.ng,codestash.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-01-22,2025-10-04,2025-10-04,2025-10-04,"",Plesk,"","","","","","",QuadraNet,"","",""
eagriculture.com.ng,eagriculture.com.ng,eagriculture.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2019-12-11,2025-06-01,2025-09-25,2025-09-25,"","","","","","","","",Microsoft;Microsoft Azure,"","",""
forumbot.com.ng,forumbot.com.ng,forumbot.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-03-18,2025-10-04,2025-10-04,2025-10-04,WooCommerce 6.7,Plesk;WordPress;WordPress 6.8,"","","","","","","","","",""
smartfunds.ng,smartfunds.ng,smartfunds.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-10-04,2025-10-04,2025-10-04,2025-10-04,"",Drupal;Drupal 11;Plesk;WordPress;WordPress 6.8,"","","","","","",GoDaddy;Host Europe,"","",""
